,ratings,review
63,4,SuperbbbREAD MORE
64,5,seems good.. but wire is too short?.. hope it will be useful for a hosteller like me.. happy with Flipkart ?READ MORE
65,5,"a nice product and most helpful in home. we can use it to heat water instantly and boil milk also. finally a useful product for home, hostels, in rooms etc especially comfortable to take it to anywhere while outing.READ MORE"
66,4,"i bought it before two days and use it for two days and now I'm sharing my review on this product.01) it is very good for boiling water it just takes 2 minutes to boil water.02) it is also good to boil milk but the problem is to clean inside the there,there is problem to clean it inside 03) I tried to boil eggs too and there I felt problem that egg was broken inside while boiling and second thing is it's just run for 3 minutes and switch off because of high temperature so u need to wait fo...READ MORE"
67,5,NiceREAD MORE
68,5,Very good 👍 👍 👍 👍 👍 👍READ MORE
69,5,Best kettleREAD MORE
70,5,Very nice katleREAD MORE
71,5,very good product. Makes tea with ease and also easy to prepare noodles in it. Good productREAD MORE
72,5,amazing...great productREAD MORE
73,5,Go for it. Best quality. Its worth every penny. I get the warm water in just 5-10 seconds. That's amazing!READ MORE
74,5,Good quality and working fine.READ MORE
75,5,fantastic product with reasonble price.. loved it.. love u flipkart for ur services.. other online site people are cheating by keeping more taxes and delivery charges.. but ur services n faster delivery is superb :) love ur services alwz..READ MORE
76,4,"At first usage, it was leaking but now it does a great jobREAD MORE"
77,4,Nice  productREAD MORE
78,4,"First of all i would say that the kettle is pretty good at such a decent price of Rs. 599 , the only thing i didn't like is that the length of the cord is very small , it should be long enough but the quality of wire is is also good ...Just go for it ...READ MORE"
79,5,awesome product. must buyREAD MORE
80,4,Very nice.. Love itREAD MORE
81,4,Very good productREAD MORE
82,4,"The product does what it is supposed to. Quality of the product is good too. But, has few points which it can definitely improve upon, 1. there is no marking on the product to indicate how much water we are filling other than min and Max. 2. the electric cable connection to base charging station is very short. 3. the base charger plastic looks very flimsy and not sturdy at all, also the plastic edges are not smooth and feels fragile.improve on these points and your product will definitely...READ MORE"
83,4,Good efficient product  save ur time and easy to use cleanREAD MORE
84,4,Easy to handle and easy to clean it.And I like the automatic turn off of the kettle when the water is over heated.But the length of the wire very small.READ MORE
85,4,AwesomeREAD MORE
86,4,Nice 👍Very Nice Product.READ MORE
87,4,OkREAD MORE
88,4,"So i bought this specifically for boiling water. It is pretty decent and the capacity is good. Boils water in just a few mins. And to all those silly people asking about whether you can boil milk, egg . maggi etc in this kettle.. ITS A BIG NO. Please use it for boiling water only!READ MORE"
89,4,Thank you flip cartREAD MORE
