,ratings,review
60,5,Awesome camera Amazing battery life Super xdr display is 💕👌🏻Playing games and day to day task are smooth Face ID is superbiOS 15 is really awesome 🤩 thanks to AppleREAD MORE
61,5,"Product as good as expected 😊Nice feature nice cameraVery good in all fields,❤️❤️❤️❤️❤️I phone 13 great productREAD MORE"
62,5,Excellent phoneREAD MORE
63,5,AwesomeGreat experience I shifted android to ios great use easy to learn Best wide angel cameraREAD MORE
64,5,Its nice phone camera and display very niceREAD MORE
65,5,Value for money.READ MORE
66,5,I loved it❤️READ MORE
67,5,My 1st Iphone. Really Awesome....READ MORE
68,5,Camera quality is superb 10/10 Battery 10/10Overall is superb.❤️READ MORE
69,5,Camera quality is awesomeREAD MORE
70,5,Performance very good Display very good Battery good Look very goodREAD MORE
71,5,Perfect till the date.READ MORE
72,5,"Excellent product, photo quality was great and video was excellent, good battery life and if it has more than 60hz refresh rate it would be great and everything else is greatREAD MORE"
73,5,Loved itREAD MORE
74,5,If u have enough money .. surely GO FOR ITAlthogh there is no big difference between 12 and 13 but diagonal cameras make it look different and unique from others Pro level mobile.. these are just simple images taken randomlyREAD MORE
75,5,Just loved this phone.READ MORE
76,5,"Very impressed with this order.. i phone 13 best in class , awsm camera quality, fastest in speed,Very happy with my productREAD MORE"
77,5,nice cameraREAD MORE
78,5,It’s my first ever ios device I kinda loving it total value for money. Best ever budget smart phone and thank you flipkart for delivering it in one  day.READ MORE
79,5,Such an amazing device. Bought 3  for all my family on Flipkart big billian sale. Thanks FlipkartREAD MORE
80,5,"Best Phone to go, Feels smooth and really good camera is really awesome and performance also at it's best.i got a best price totally worth it 👍🏻And delivery speed was Awesome 😎READ MORE"
81,5,Got it in 2 days.so happy with the phone.starlight white is classy n suberb. That premium look is exquisite.Flawless ui... better battery backup.I am satisfied with the purchase.There is no phone like an iPhone :)READ MORE
82,5,Camera quality and performance is extraordinary 🔥🔥READ MORE
83,5,Awesome lookingREAD MORE
84,5,Nice product😍READ MORE
85,5,Best ever smart iPhoneREAD MORE
86,5,This is my first iPhone. Shifted to ios after 5 years of android.Without taking much time Let me share my experiences with this beast.Camera - 10/10Battery - 9/10Display - 10/10Performance - 10/10Design - 10/10READ MORE
87,5,Awesome! Battery life too good when compared to mini seriesREAD MORE
88,5,What a feeling ✨READ MORE
89,5,Simply superb ❤️READ MORE
90,5,Truly a great machine even in 2023. Fabulous camera and a decent battery backup.I shifted from a poco x3 and booyah!! Incredible device but apple must provide charger👍READ MORE
91,5,Awesome powerful phone. Really loved itREAD MORE
92,5,Nice PhoneREAD MORE
93,1,"The screen is going blank, not able to connect with call centre.READ MORE"
94,5,Apart from camera and performance it’s battery is fantastic.READ MORE
95,5,What to say its 💕💕 iphoneREAD MORE
96,5,Good...READ MORE
97,5,Very nice cameraREAD MORE
98,5,Love it cameraREAD MORE
