,ratings,review
86,1,Iphone is good but the delivery 😡😡😡🤬🤬🤬🤬😡😡 is not good it take more then 10 days please Flipkart improve your delivery 🙏🙏🙏READ MORE
87,1,Camera is not goodREAD MORE
88,1,Too  much costlyREAD MORE
89,1,Something bad with all the products from FlipkartREAD MORE
90,1,Only Camera is Good. Battery IssuesChanging issues Heating issues Display issues Performance issues The issues are created after an year.Overall Bad experience.READ MORE
91,1,I got a crappy product and then the invoice is also not getting downloaded. It shows that it is corrupted. On top of that the executive doesn't hv anything to support me and when I asked to change my email id they say I need to send my pan card on an email for the same. What kind of nonsense show are u guys running. The phone has gone bad in just 3 months not getting started only.READ MORE
92,1,Battery performance very poor 1 day 2 time chargesREAD MORE
93,1,Wrost phone ever... Isse achha Nokia 3310 leloREAD MORE
94,1,Very slow deviceREAD MORE
95,5,"Awesome battery backup amazing camera, a all day batter backup  improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days 🔥READ MORE"
96,1,Battery performance is very poorREAD MORE
97,1,After 1 month the phone is deadREAD MORE
98,1,Facing lots of problems really very very disappointed. Touch is not working. If video uploading option will be there than I can saw you the full video how it was working. I want to return this productREAD MORE
99,1,After 1 month battery health fall to 98%READ MORE
100,1,Battery problems I use iPhone but this phone very Dall batteryREAD MORE
101,5,Just an absolute beast. Got it for 50k in sale. Shifting from android to ios took a litkle time but the experience is amazing. The most loved part is camera and performance. Not playing games overall experience is good so far.READ MORE
102,5,"It is an impressive piece of technology that has truly raised the bar for smartphones. One of the standout features of the iPhone 13 is its stunning display, which offers crisp, clear visuals that make everything from streaming movies to scrolling through social media a joy.The performance of the iPhone 13 is also top-notch, with the latest A15 Bionic chip powering the device to lightning-fast speeds. The battery life on the iPhone 13 is also excellent, with the device able to last all day ...READ MORE"
103,1,Camera quality very poorREAD MORE
104,1,Phone was dead within 20 days span after I bought it in the sale. Hardware issues inside the mobile. Service centre people were changing the entire mother board. Don't purchase any electronic items from Flipkart sale. The myth is true.READ MORE
105,5,Amazing Love the camera 📸READ MORE
106,1,Battery is draining issueREAD MORE
107,1,Front camera very poorREAD MORE
108,1,Very badBattery is poorREAD MORE
109,1,Poor performanceREAD MORE
110,1,Receiving speaker hardware issue found in 7 days..READ MORE
111,1,"Camera stopped working from 3rd day , not acceptable by Apple and Flipkart , you cannot sale such products in the name of offering discountsREAD MORE"
112,5,"Nice product and smooth mobile, Camera quality very nice, plz buy this PhoneREAD MORE"
113,1,Worste experience i had. Signal reception problem and touch issuesREAD MORE
114,1,Nice camera and performance but battery draining very fast after ios 16 update.READ MORE
115,5,Best in class brand is always brand but price variation in always got change at so many times some offers get mind blowing.READ MORE
116,1,my iphone 13 just got dead at 85% battery... just within 12hours of unboxing.... i havent even have any data and sim ... just used hardly for 2-3hours....READ MORE
117,1,Recieved new iphone 13 with deep scratch on left side.Worst purchase on Big Billion Day and Bad support by Flipkart as no replacement provided for this only return policy. Very bad experience and feeling cheated for my purchase.READ MORE
118,1,The phone turned off after 2 hrs of use and is unfunctional piece of junk nowREAD MORE
119,5,This one is fabulous at every point.READ MORE
120,5,Phone is awesome for a first time iOS user but the battery backup is not as per expectation.READ MORE
121,5,It's  just mind-blowing  I have switched from Android to iOS it feels fantastic. The  alluring effect and  the fascinated color it's top notch. I was hesitating to buy online but one can completely rely on. Special thanks to ekart and flipkart to deliver only in 2days delivery is quick  and trustworthy.READ MORE
122,4,Apple as always at its best. However the battery isn't that great as the apple claims. I m a little moderate user. Have to charge the device twice a dayREAD MORE
123,2,Not satisfied with the cameraREAD MORE
124,2,The 13 series model has the green screen issues after software updates. Won't recommend as the after service is too bad.READ MORE
125,2,Product is good.I like its camera function and much more function.Only one problem body color removed in only three month.READ MORE
126,2,Poor product for such a phone. Is that sold in offer is such problematic? Display keeps hanging...not happy at all...READ MORE
127,2,"Getting hang while browsing , and charging too .READ MORE"
128,3,"Though i am using Google pixels 6 along with this iphone 13, trust me guys the camera quality of Google pixel is far better even my sister's samsung galaxy s21 camera has more features with great image quality. Iphone is just a hype ans showoff materials. But yes it's performance, ram management, and most importantly privacy & security is appreciating.READ MORE"
129,3,So many thing are missing. If i campare it with my android phone costs around nearly 9k inr my andoid phone is better than this Split window MultitaskingFingerprint App lock 3.5 Mm jack Battery is so poor So many thingREAD MORE
