,ratings,review
65,4,4The quality of bag is very good and it is more space in the inside of bag and I will buy the bag at 800 rupees it is worth per 800 to 900 rupees and thank you to Flipkart an American Tourister to giving a best bag to my college#iamhappyREAD MORE
66,2,"2These are results after 10 months. I don't to discourage anyone by adding this review, but it's truth that we have to accept it.I am a true baggage user. While buying this bag I thought that it's a tough and stylish bag and it will remain long last upto so many years,and I was totally wrong. If you're looking towards this AT bag as tough bag then it will be your wrong choice.   I am adding this results after 10 months of usage. It is totally wrong option for heavy luggage user as well as stu...READ MORE"
67,3,"3I've Been using this bag for about 2 months now, as of writing this review.The bag looks good and has many quick access compartments, but the build quality is average to say the least. It doesn't look very durable, and on top of the there were a lot of extra treads hanging from the ends of stitching that I had to cut myself.The material that seperates the compartments of the bag is very thin and I think it will tear in the near future.I think they made this bag for college students who don...READ MORE"
68,5,5A great product. Got it for Rs. 800 only. It is an ideal bag for a short trip. The only drawback is that the bag doesn't have any separate compartment for laptop but that can be overlooked considering the load bearing capacity of the material. the zippers are good. overall a very good product.READ MORE
69,5,5Awesome BagREAD MORE
70,5,5good but high costREAD MORE
71,5,5product was awesomeIt is like tough polythene bagit is not made from some cotton or threads Can withstand short term usageREAD MORE
72,5,5Cool and stylish from both inside and outside. Awesome bag!READ MORE
73,5,5GoodREAD MORE
74,5,5The bag is very good for students.... it is spacive and stylish... loved it... but the only thing it is not waterproof ...Else everything is awesome 👌READ MORE
75,5,5bag is of good qualityREAD MORE
76,4,"4Fine !!!Good space for keeping things Stylish and Funky, Suitable for School and college use but the cloth material is very thin and light weight.READ MORE"
77,5,5Very good quality my daughter liked very much. Go to it. Worth for moneyREAD MORE
78,4,4loved itREAD MORE
79,4,4quality is good. i bought it in rs 803.READ MORE
80,5,"5The quality of bag is too good and look is also good , got best deal from Flipkart , go for ItREAD MORE"
81,2,"2Very bad product,in  just 2 day's use it torn..READ MORE"
82,4,4Its a value for moneyREAD MORE
83,4,"4Good, i really like it, new look, good color and quality. Normal weight easy but  vey nice  meterial. And too big size.READ MORE"
84,3,3smaller in size...genuine review...is smaller than xpected....go for smthing elseREAD MORE
85,3,3Very nice bagREAD MORE
86,4,4In terms of quality it is not that good but a lot of storage and space looks good also 😉READ MORE
87,4,4Nice backpackREAD MORE
88,4,4bag looks good but the fabric is very  low quality material capacity is goodREAD MORE
89,4,4nice bag for small journeyREAD MORE
90,4,4Decent Bag with Nice Colour.....Space inside bag is more than enough ..The only Problem I faced no Slot for Laptop..READ MORE
91,4,4nice bag  but not so fancyREAD MORE
92,5,5AwesomeREAD MORE
93,5,5The bag packed is awesome..  Actually to my location every delivery used to come after 5-6 days of order.. but this was delivered just after 3 days..  delivery is also good..  Finally I can say that this backpack worth the money.. very Happy..READ MORE
94,5,5it is very good product that I have received from flikart believe it is worth at 918rs purchase it👍👍😎😎😎READ MORE
95,5,5kirak bag loved it 😍😍😍READ MORE
96,5,5American Tourister is most trusted Brand. I am using this from Years. This bag of 32 litres very spacious but it doesn't have laptop pocket in it. If your are willing to take it bagpack go for this one.READ MORE
97,5,55 star bagREAD MORE
98,5,5Thank you so much flipcat for this bag in less price .and quality is so wonderful 😊.I suggest you friends if you need long durability then you can go with this bag .Really amazingREAD MORE
99,4,"4nice backpack with suitable cost..don't go.with prize..get it now..very easy to  handling, good in colour.READ MORE"
